Aug 15 17:52:19 p0-online-boutique systemd[1]: Started kubelet.service - kubelet: The Kubernetes Node Agent.
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.652042     588 server.go:529] "Kubelet version" kubeletVersion="v1.34.0"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.652192     588 server.go:531] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.652672     588 watchdog_linux.go:95] "Systemd watchdog is not enabled"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.652717     588 watchdog_linux.go:137] "Systemd watchdog is not enabled or the interval is invalid, so health checking will not be started."
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.653000     588 server.go:956] "Client rotation is on, will bootstrap in background"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.654890     588 certificate_store.go:147] "Loading cert/key pair from a file" filePath="/var/lib/kubelet/pki/kubelet-client-current.pem"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.661495     588 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/var/lib/minikube/certs/ca.crt"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.669170     588 server.go:1423] "Using cgroup driver setting received from the CRI runtime" cgroupDriver="cgroupfs"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.679064     588 server.go:781] "--cgroups-per-qos enabled, but --cgroup-root was not specified.  Defaulting to /"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.679130     588 server.go:842] "NoSwap is set due to memorySwapBehavior not specified" memorySwapBehavior="" FailSwapOn=false
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.680598     588 swap_util.go:115] "Swap is on" /proc/swaps contents=<
Aug 15 17:52:19 p0-online-boutique kubelet[588]:         Filename                                Type                Size                Used                Priority
Aug 15 17:52:19 p0-online-boutique kubelet[588]:         /dev/sdc                                partition        2097152                0                -2
Aug 15 17:52:19 p0-online-boutique kubelet[588]:  >
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.681429     588 container_manager_linux.go:270] "Container manager verified user specified cgroup-root exists" cgroupRoot=[]
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.681500     588 container_manager_linux.go:275] "Creating Container Manager object based on Node Config" nodeConfig={"NodeName":"p0-online-boutique","RuntimeCgroupsName":"","SystemCgroupsName":"","KubeletCgroupsName":"","KubeletOOMScoreAdj":-999,"ContainerRuntime":"","CgroupsPerQOS":true,"CgroupRoot":"/","CgroupDriver":"cgroupfs","KubeletRootDir":"/var/lib/kubelet","ProtectKernelDefaults":false,"KubeReservedCgroupName":"","SystemReservedCgroupName":"","ReservedSystemCPUs":{},"EnforceNodeAllocatable":{"pods":{}},"KubeReserved":null,"SystemReserved":null,"HardEvictionThresholds":[],"QOSReserved":{},"CPUManagerPolicy":"none","CPUManagerPolicyOptions":null,"TopologyManagerScope":"container","CPUManagerReconcilePeriod":10000000000,"MemoryManagerPolicy":"None","MemoryManagerReservedMemory":null,"PodPidsLimit":-1,"EnforceCPULimits":true,"CPUCFSQuotaPeriod":100000000,"TopologyManagerPolicy":"none","TopologyManagerPolicyOptions":null,"CgroupVersion":2}
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.682022     588 topology_manager.go:138] "Creating topology manager with none policy"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.682041     588 container_manager_linux.go:306] "Creating device plugin manager"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.682111     588 container_manager_linux.go:315] "Creating Dynamic Resource Allocation (DRA) manager"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.683834     588 state_mem.go:36] "Initialized new in-memory state store"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.685144     588 kubelet.go:475] "Attempting to sync node with API server"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.685193     588 kubelet.go:376] "Adding static pod path" path="/etc/kubernetes/manifests"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.685662     588 kubelet.go:387] "Adding apiserver pod source"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.685709     588 apiserver.go:42] "Waiting for node sync before watching apiserver pods"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: E0815 17:52:19.686141     588 reflector.go:205] "Failed to watch" err="failed to list *v1.Node: Get \"https://192.168.49.2:8443/api/v1/nodes?fieldSelector=metadata.name%3Dp0-online-boutique&limit=500&resourceVersion=0\": dial tcp 192.168.49.2:8443: connect: connection refused" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:160" type="*v1.Node"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: E0815 17:52:19.686784     588 reflector.go:205] "Failed to watch" err="failed to list *v1.Service: Get \"https://192.168.49.2:8443/api/v1/services?fieldSelector=spec.clusterIP%21%3DNone&limit=500&resourceVersion=0\": dial tcp 192.168.49.2:8443: connect: connection refused" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:160" type="*v1.Service"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.689542     588 kuberuntime_manager.go:291] "Container runtime initialized" containerRuntime="containerd" version="v2.2.1" apiVersion="v1"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.690730     588 kubelet.go:940] "Not starting ClusterTrustBundle informer because we are in static kubelet mode or the ClusterTrustBundleProjection featuregate is disabled"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.690798     588 kubelet.go:964] "Not starting PodCertificateRequest manager because we are in static kubelet mode or the PodCertificateProjection feature gate is disabled"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.700095     588 server.go:1262] "Started kubelet"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.700188     588 server.go:180] "Starting to listen" address="0.0.0.0" port=10250
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.701185     588 ratelimit.go:56] "Setting rate limiting for endpoint" service="podresources" qps=100 burstTokens=10
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.701302     588 server_v1.go:49] "podresources" method="list" useActivePods=true
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.701360     588 fs_resource_analyzer.go:67] "Starting FS ResourceAnalyzer"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.701465     588 dynamic_serving_content.go:135] "Starting controller" name="kubelet-server-cert-files::/var/lib/kubelet/pki/kubelet.crt::/var/lib/kubelet/pki/kubelet.key"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.701713     588 server.go:249] "Starting to serve the podresources API" endpoint="unix:/var/lib/kubelet/pod-resources/kubelet.sock"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: E0815 17:52:19.701858     588 kubelet_node_status.go:404] "Error getting the current node from lister" err="node \"p0-online-boutique\" not found"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: E0815 17:52:19.702076     588 controller.go:145] "Failed to ensure lease exists, will retry" err="Get \"https://192.168.49.2:8443/apis/coordination.k8s.io/v1/namespaces/kube-node-lease/leases/p0-online-boutique?timeout=10s\": dial tcp 192.168.49.2:8443: connect: connection refused" interval="200ms"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.702109     588 server.go:310] "Adding debug handlers to kubelet server"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.702341     588 volume_manager.go:313] "Starting Kubelet Volume Manager"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: I0815 17:52:19.702481     588 desired_state_of_world_populator.go:146] "Desired state populator starts to run"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: E0815 17:52:19.702439     588 event.go:368] "Unable to write event (may retry after sleeping)" err="Post \"https://192.168.49.2:8443/api/v1/namespaces/default/events\": dial tcp 192.168.49.2:8443: connect: connection refused" event="&Event{ObjectMeta:{p0-online-boutique.18cc0bfe76adfc6f  default    0 0001-01-01 00:00:00 +0000 UTC <nil> <nil> map[] map[] [] [] []},InvolvedObject:ObjectReference{Kind:Node,Namespace:,Name:p0-online-boutique,UID:p0-online-boutique,APIVersion:,ResourceVersion:,FieldPath:,},Reason:Starting,Message:Starting kubelet.,Source:EventSource{Component:kubelet,Host:p0-online-boutique,},FirstTimestamp:2026-08-15 17:52:19.699956847 +0000 UTC m=+0.301435431,LastTimestamp:2026-08-15 17:52:19.699956847 +0000 UTC m=+0.301435431,Count:1,Type:Normal,EventTime:0001-01-01 00:00:00 +0000 UTC,Series:nil,Action:,Related:nil,ReportingController:kubelet,ReportingInstance:p0-online-boutique,}"
Aug 15 17:52:19 p0-online-boutique kubelet[588]: E0815 17:52:19.703677     588 reflector.go:205] "Failed to watch" err="failed to list *v1.CSIDriver: Get \"https://192.168.49.2:8443/apis/storage.k8s.io/v1/csidrivers?limit=500&resourceVersion=0\": dial tcp 192.168.49.2:8443: connect: connection refused" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:160" type="*v1.CSIDriver"
