Sep 03 17:18:34 p0-online-boutique systemd[1]: Started kubelet.service - kubelet: The Kubernetes Node Agent.
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.245513     600 server.go:529] "Kubelet version" kubeletVersion="v1.34.0"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.245573     600 server.go:531] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.245869     600 watchdog_linux.go:95] "Systemd watchdog is not enabled"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.245919     600 watchdog_linux.go:137] "Systemd watchdog is not enabled or the interval is invalid, so health checking will not be started."
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.246146     600 server.go:956] "Client rotation is on, will bootstrap in background"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.248075     600 certificate_store.go:147] "Loading cert/key pair from a file" filePath="/var/lib/kubelet/pki/kubelet-client-current.pem"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.255602     600 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/var/lib/minikube/certs/ca.crt"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.260881     600 server.go:1423] "Using cgroup driver setting received from the CRI runtime" cgroupDriver="cgroupfs"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.269768     600 server.go:781] "--cgroups-per-qos enabled, but --cgroup-root was not specified.  Defaulting to /"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.269824     600 server.go:842] "NoSwap is set due to memorySwapBehavior not specified" memorySwapBehavior="" FailSwapOn=false
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.271007     600 swap_util.go:115] "Swap is on" /proc/swaps contents=<
Sep 03 17:18:35 p0-online-boutique kubelet[600]:         Filename                                Type                Size                Used                Priority
Sep 03 17:18:35 p0-online-boutique kubelet[600]:         /dev/sdc                                partition        2097152                0                -2
Sep 03 17:18:35 p0-online-boutique kubelet[600]:  >
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.271239     600 container_manager_linux.go:270] "Container manager verified user specified cgroup-root exists" cgroupRoot=[]
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.271278     600 container_manager_linux.go:275] "Creating Container Manager object based on Node Config" nodeConfig={"NodeName":"p0-online-boutique","RuntimeCgroupsName":"","SystemCgroupsName":"","KubeletCgroupsName":"","KubeletOOMScoreAdj":-999,"ContainerRuntime":"","CgroupsPerQOS":true,"CgroupRoot":"/","CgroupDriver":"cgroupfs","KubeletRootDir":"/var/lib/kubelet","ProtectKernelDefaults":false,"KubeReservedCgroupName":"","SystemReservedCgroupName":"","ReservedSystemCPUs":{},"EnforceNodeAllocatable":{"pods":{}},"KubeReserved":null,"SystemReserved":null,"HardEvictionThresholds":[],"QOSReserved":{},"CPUManagerPolicy":"none","CPUManagerPolicyOptions":null,"TopologyManagerScope":"container","CPUManagerReconcilePeriod":10000000000,"MemoryManagerPolicy":"None","MemoryManagerReservedMemory":null,"PodPidsLimit":-1,"EnforceCPULimits":true,"CPUCFSQuotaPeriod":100000000,"TopologyManagerPolicy":"none","TopologyManagerPolicyOptions":null,"CgroupVersion":2}
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.271698     600 topology_manager.go:138] "Creating topology manager with none policy"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.271731     600 container_manager_linux.go:306] "Creating device plugin manager"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.271778     600 container_manager_linux.go:315] "Creating Dynamic Resource Allocation (DRA) manager"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.273229     600 state_mem.go:36] "Initialized new in-memory state store"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.274418     600 kubelet.go:475] "Attempting to sync node with API server"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.274465     600 kubelet.go:376] "Adding static pod path" path="/etc/kubernetes/manifests"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.275676     600 kubelet.go:387] "Adding apiserver pod source"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: I0903 17:18:35.275741     600 apiserver.go:42] "Waiting for node sync before watching apiserver pods"
Sep 03 17:18:35 p0-online-boutique kubelet[600]: E0903 17:18:35.275770     600 reflector.go:205] "Failed to watch" err="failed to list *v1.Node: Get \"https://192.168.49.2:8443/api/v1/nodes?fieldSelector=metadata.name%3Dp0-online-boutique&limit=500&resourceVersion=0\": dial tcp 192.168.49.2:8443: connect: connection refused" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:160" type="*v1.Node"
